# {"t_start": 1591372385.3888662, "env_id": "Block2D-v1"} 
r,l,t
-78.708018,78,1499.609409
-70.698768,72,1499.676151
-76.374458,75,1499.813245
-87.43708,76,1499.881596
-82.482073,75,1500.015751
-69.007748,71,1500.047452
-71.23157,70,1500.080393
-85.175848,79,1500.151304
-69.814401,71,1500.182632
-91.119413,97,1500.226658
-74.957518,73,1500.351832
-76.140504,72,1500.484226
-88.954791,91,1500.556609
-73.435032,71,1500.675287
-80.939231,77,1500.707845
-86.745517,83,1500.743859
-73.736349,70,1500.801333
-92.518382,95,1500.875889
-85.586366,74,1501.060541
-70.837021,70,1501.122106
-78.296624,78,1501.155439
-65.144282,69,1501.18558
-79.104393,80,1501.256589
-96.118694,104,1501.334118
-82.093098,79,1501.455914
-86.025329,82,1526.508956
-78.889681,79,1526.574146
-80.101402,79,1526.644443
-75.260667,80,1526.716197
-79.796369,78,1526.921834
-82.935165,79,1526.989283
-81.466193,79,1527.055367
-153.422455,91,1527.196785
-85.429007,82,1527.327976
-94.920136,77,1527.392944
-87.769894,88,1527.464923
-75.384271,78,1527.727976
-60.156549,65,1527.757427
-72.631966,74,1527.862589
-120.616795,83,1527.934268
-102.39287,95,1528.006414
-72.182531,72,1528.129105
-82.689745,88,1528.204019
-79.952624,73,1528.334812
-72.893791,77,1528.370792
-71.591121,71,1528.403098
-81.744288,80,1528.476186
-79.923627,91,1528.55094
-83.504827,88,1528.618016
-86.480052,90,1528.757273
-89.972083,79,1528.889387
-67.329826,69,1528.953178
-75.70224,73,1529.024137
-94.48008,76,1529.058648
-67.315191,69,1529.09079
-69.983369,70,1529.159314
-72.714712,71,1529.192067
-75.593529,77,1529.233057
-81.545878,82,1529.367495
-79.751956,73,1529.42895
-79.378264,70,1529.459554
-68.418586,70,1529.493223
-73.970251,76,1529.526584
-71.961561,77,1529.562774
-71.422972,70,1529.593103
-89.76904,96,1529.637257
-68.333046,71,1529.691601
-82.926475,80,1529.760876
-76.104392,73,1529.888653
-69.938304,72,1529.953747
-81.466529,74,1529.986293
-90.153418,92,1530.028861
-78.157787,71,1530.088307
-74.029366,73,1530.229757
